category_name,category_viewers,category_tag_1,category_tag_2,tags_name,Viewers
Mobile Legends: Bang bang,437,Strategy,RTS,,437
NASCAR Heat 5,436,Driving/Racing Game,,,436
Resident Evil 2,432,Shooter,Action,,432
GeoGuessr,404,Educational Game,,,404
Elite: Dangerous,402,Simulation,,,402
Pokémon Black/White,397,RPG,,,397
Total War: Warhammer II,394,Strategy,RTS,,394
Sekiro: Shadows Die Twice,393,Action,Adventure Game,,393
Fallout 76,393,RPG,Shooter,,393
Lineage: The Blood Pledge,392,Adventure Game,RPG,,392
Silkroad Online,392,MMORPG,Action,,392
Assassin's Creed IV: Black Flag,390,Platformer,Action,,390
Grand Theft Auto,390,Action,,,390
Spiritfarer,387,Adventure Game,,,387
The Forest,386,Action,Adventure Game,,386
Travel & Outdoors,384,IRL,,,384
Microsoft Flight Simulator X,378,Flight Simulator,,,378
Mario Kart 64,377,Driving/Racing Game,,,377
Madden NFL 20,377,Sports Game,,,377
Heroes of Newerth,372,MOBA,Stealth,,372
Star Wars: The Old Republic,372,MMORPG,,,372
Resident Evil 3,368,Action,Adventure Game,,368
Special Events,366,IRL,,,366
Final Fantasy X/X-2 HD Remaster,360,Compilation,RPG,,360
Guitar Hero III: Legends of Rock,351,Simulation,,,351
Resident Evil 4,349,Shooter,Action,,349
Resident Evil 3: Nemesis,346,Action,Horror,,346
SCP: Secret Laboratory,344,Action,Horror,,344
CABAL Online,340,MMORPG,Action,,340
